source,pageType,url,httpStatus,finalUrl,app404,robotsMeta,xRobotsTag,canonical,canonicalSelf,title,titleChars,metaDescription,descriptionChars,h1Count,h1,h2Count,h3Count,mainWordsApprox,mainImageCount,imagesWithoutAlt,imagesEmptyAlt,firstImageStatus,ogTitle,ogDescription,ogImage,ogImageStatus,twitterCard,schemaTypes,productHasOffers,productHasReview,productHasAggregateRating,internalLinkCount,inboundPageCount,notes
"variant","static","https://demo-web-client.shop/products?sort=price-asc","200","https://demo-web-client.shop/products?sort=price-asc","false","noindex, follow","","https://demo-web-client.shop/products","false","Tất cả sản phẩm | TOÀN TÂM","26","Tìm kiếm, lọc và so sánh thiết bị chăm sóc sức khỏe cho gia đình, phòng khám và bệnh viện tại Toàn Tâm Medical.","111","1","Tất cả sản phẩm","1","12","404","12","0","0","200","Tất cả sản phẩm","Tìm kiếm, lọc và so sánh thiết bị chăm sóc sức khỏe cho gia đình, phòng khám và bệnh viện tại Toàn Tâm Medical.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","","false","false","false","28","47",""
"variant","static","https://demo-web-client.shop/products?availability=available","200","https://demo-web-client.shop/products?availability=available","false","noindex, follow","","https://demo-web-client.shop/products","false","Tất cả sản phẩm | TOÀN TÂM","26","Tìm kiếm, lọc và so sánh thiết bị chăm sóc sức khỏe cho gia đình, phòng khám và bệnh viện tại Toàn Tâm Medical.","111","1","Tất cả sản phẩm","1","12","405","12","0","0","200","Tất cả sản phẩm","Tìm kiếm, lọc và so sánh thiết bị chăm sóc sức khỏe cho gia đình, phòng khám và bệnh viện tại Toàn Tâm Medical.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","","false","false","false","29","47",""
"variant","static","https://demo-web-client.shop/products?q=nep","200","https://demo-web-client.shop/products?q=nep","false","noindex, follow","","https://demo-web-client.shop/products","false","Tất cả sản phẩm | TOÀN TÂM","26","Tìm kiếm, lọc và so sánh thiết bị chăm sóc sức khỏe cho gia đình, phòng khám và bệnh viện tại Toàn Tâm Medical.","111","1","Tất cả sản phẩm","1","1","120","1","0","0","200","Tất cả sản phẩm","Tìm kiếm, lọc và so sánh thiết bị chăm sóc sức khỏe cho gia đình, phòng khám và bệnh viện tại Toàn Tâm Medical.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","","false","false","false","4","47",""
"variant","static","https://demo-web-client.shop/search?q=may","200","https://demo-web-client.shop/search?q=may","false","noindex, follow","","https://demo-web-client.shop/search","false","Tìm kiếm sản phẩm | TOÀN TÂM","28","Tìm sản phẩm thiết bị y tế phù hợp tại Toàn Tâm Medical.","56","1","Kết quả cho “may”","1","0","33","0","0","0","","Toàn Tâm Medical","Thiết bị y tế chính hãng cho bệnh viện, phòng khám và gia đình.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","","false","false","false","0","0",""
"variant","static","https://demo-web-client.shop/search?q=seo-audit-khong-co-ket-qua","200","https://demo-web-client.shop/search?q=seo-audit-khong-co-ket-qua","false","noindex, follow","","https://demo-web-client.shop/search","false","Tìm kiếm sản phẩm | TOÀN TÂM","28","Tìm sản phẩm thiết bị y tế phù hợp tại Toàn Tâm Medical.","56","1","Kết quả cho “seo-audit-khong-co-ket-qua”","1","0","33","0","0","0","","Toàn Tâm Medical","Thiết bị y tế chính hãng cho bệnh viện, phòng khám và gia đình.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","","false","false","false","0","0",""
"variant","static","https://demo-web-client.shop/request-quote?product=nep-co-inh-ban-chan-ban-em-nep-chinh-ban-chan-giam-au-got-chan-1736539331283944506","200","https://demo-web-client.shop/request-quote?product=nep-co-inh-ban-chan-ban-em-nep-chinh-ban-chan-giam-au-got-chan-1736539331283944506","false","","","https://demo-web-client.shop/request-quote","false","Yêu cầu báo giá | TOÀN TÂM","26","Gửi nhu cầu thiết bị y tế và nhận tư vấn, báo giá phù hợp từ Toàn Tâm Medical.","78","1","Yêu cầu báo giá","0","0","84","0","0","0","","Yêu cầu báo giá","Gửi nhu cầu thiết bị y tế và nhận tư vấn, báo giá phù hợp từ Toàn Tâm Medical.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","","false","false","false","1","58",""
"variant","product","https://demo-web-client.shop/products/seo-audit-khong-ton-tai","404","https://demo-web-client.shop/products/seo-audit-khong-ton-tai","true","noindex","","https://demo-web-client.shop","false","TOÀN TÂM | Thiết bị y tế chính hãng","35","Thiết bị y tế chính hãng cho bệnh viện, phòng khám và gia đình.","63","0","","0","0","0","0","0","0","","Toàn Tâm Medical","Thiết bị y tế chính hãng cho bệnh viện, phòng khám và gia đình.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","","false","false","false","0","0","Product snippet required property absent"
"variant","collection","https://demo-web-client.shop/collections/seo-audit-khong-ton-tai","404","https://demo-web-client.shop/collections/seo-audit-khong-ton-tai","true","noindex","","https://demo-web-client.shop","false","TOÀN TÂM | Thiết bị y tế chính hãng","35","Thiết bị y tế chính hãng cho bệnh viện, phòng khám và gia đình.","63","0","","0","0","0","0","0","0","","Toàn Tâm Medical","Thiết bị y tế chính hãng cho bệnh viện, phòng khám và gia đình.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","","false","false","false","0","0",""
"variant","article","https://demo-web-client.shop/blogs/news/seo-audit-khong-ton-tai","404","https://demo-web-client.shop/blogs/news/seo-audit-khong-ton-tai","true","noindex","","https://demo-web-client.shop","false","TOÀN TÂM | Thiết bị y tế chính hãng","35","Thiết bị y tế chính hãng cho bệnh viện, phòng khám và gia đình.","63","0","","0","0","0","0","0","0","","Toàn Tâm Medical","Thiết bị y tế chính hãng cho bệnh viện, phòng khám và gia đình.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","","false","false","false","0","0","Article JSON-LD absent"
"variant","static","https://demo-web-client.shop/seo-audit-khong-ton-tai","404","https://demo-web-client.shop/seo-audit-khong-ton-tai","false","noindex","","https://demo-web-client.shop","false","TOÀN TÂM | Thiết bị y tế chính hãng","35","Thiết bị y tế chính hãng cho bệnh viện, phòng khám và gia đình.","63","1","Không tìm thấy trang","0","0","24","0","0","0","","Toàn Tâm Medical","Thiết bị y tế chính hãng cho bệnh viện, phòng khám và gia đình.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","","false","false","false","1","0",""
"variant","collection","https://demo-web-client.shop/collections/thể-thao-ngoai-trời?page=2","200","https://demo-web-client.shop/collections/th%E1%BB%83-thao-ngoai-tr%E1%BB%9Di?page=2","false","","","https://demo-web-client.shop/collections/th%E1%BB%83-thao-ngoai-tr%E1%BB%9Di?page=2","true","Thể thao & Ngoài trời - Trang 2 | TOÀN TÂM","42","Khám phá các sản phẩm hỗ trợ tập luyện, vận động và chăm sóc sức khỏe khi sinh hoạt ngoài trời. So sánh thiết kế, kích thước và mức giá trước khi lựa chọn.","155","1","Thể thao & Ngoài trời","1","3","161","3","0","0","200","Thể thao & Ngoài trời","Khám phá các sản phẩm hỗ trợ tập luyện, vận động và chăm sóc sức khỏe khi sinh hoạt ngoài trời. So sánh thiết kế, kích thước và mức giá trước khi lựa chọn.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","BreadcrumbList","false","false","false","8","5",""
"variant","collection","https://demo-web-client.shop/collections/thể-thao-ngoai-trời?availability=available","200","https://demo-web-client.shop/collections/th%E1%BB%83-thao-ngoai-tr%E1%BB%9Di?availability=available","false","noindex, follow","","https://demo-web-client.shop/collections/th%E1%BB%83-thao-ngoai-tr%E1%BB%9Di","false","Thể thao & Ngoài trời | TOÀN TÂM","32","Khám phá các sản phẩm hỗ trợ tập luyện, vận động và chăm sóc sức khỏe khi sinh hoạt ngoài trời. So sánh thiết kế, kích thước và mức giá trước khi lựa chọn.","155","1","Thể thao & Ngoài trời","1","12","411","12","0","0","200","Thể thao & Ngoài trời","Khám phá các sản phẩm hỗ trợ tập luyện, vận động và chăm sóc sức khỏe khi sinh hoạt ngoài trời. So sánh thiết kế, kích thước và mức giá trước khi lựa chọn.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","BreadcrumbList","false","false","false","27","5",""
"variant","collection","https://demo-web-client.shop/collections/thể-thao-ngoai-trời?sort=price-asc","200","https://demo-web-client.shop/collections/th%E1%BB%83-thao-ngoai-tr%E1%BB%9Di?sort=price-asc","false","noindex, follow","","https://demo-web-client.shop/collections/th%E1%BB%83-thao-ngoai-tr%E1%BB%9Di","false","Thể thao & Ngoài trời | TOÀN TÂM","32","Khám phá các sản phẩm hỗ trợ tập luyện, vận động và chăm sóc sức khỏe khi sinh hoạt ngoài trời. So sánh thiết kế, kích thước và mức giá trước khi lựa chọn.","155","1","Thể thao & Ngoài trời","1","12","397","12","0","0","200","Thể thao & Ngoài trời","Khám phá các sản phẩm hỗ trợ tập luyện, vận động và chăm sóc sức khỏe khi sinh hoạt ngoài trời. So sánh thiết kế, kích thước và mức giá trước khi lựa chọn.","https://demo-web-client.shop/assets/logo-toan-tam.png","200","true","BreadcrumbList","false","false","false","26","5",""
